x,y,z,count
-264.367,-109.266,419.469,82
247.832,10.0066,148.743,85
-152.375,-456.678,316.829,93
-380.325,234.535,63.1623,87
242.32,152.124,466.035,89
454.656,77.32,-138.606,112
195.329,418.982,389.509,105
-21.2461,-595.151,-13.7794,74
-70.4477,537.831,-14.0429,107
-254.147,-298.726,227.043,90
516.104,-74.9915,-251.986,116
-130.2,-129.56,213.726,99
125.387,327.878,-128.435,95
-301.162,-426.228,-77.0604,99
-139.413,494.006,118.029,117
126.6,224.789,-449.578,104
-159.298,13.1704,-310.406,75
-465.744,-83.0568,-53.3409,86
-338.396,279.938,-409.309,139
105.537,-194.007,279.975,94
-476.75,59.303,47.1388,89
162.561,-122.422,344.901,89
-523.615,240.851,9.4734,94
-23.9214,-222.12,48.0646,116
107.755,-237.199,-457.323,109
405.005,-146.796,-20.9682,86
-292.938,-438.917,268.562,121
230.031,159.354,43.0158,94
445.071,-268.211,-137.669,66
-463.955,-361.092,-24.1316,58
-204.518,-79.7839,427.289,86
219.708,-188.8,-451.916,109
-390.199,-86.1434,327.591,81
-154.491,192.377,-435.458,92
-452.217,-154.65,-156.019,89
-214.425,-265.444,-246.055,90
505.282,-237.271,-82.8678,69
-320.739,-118.554,-318.676,94
-400.67,356.695,-183.188,105
198.81,73.9714,-545.042,83
-113.165,71.9937,370.611,81
78.2338,417.625,-338.288,88
203.974,69.188,-574.237,49
440.046,12.6281,-187.373,79
53.7159,22.9632,481.832,96
-134.329,-215.989,-45.5651,92
421.257,-323.286,-221.04,73
-127.334,303.428,-91.4768,104
-286.663,185.669,278.037,102
-100.127,-450.091,373.254,73
-560.48,126.111,-12.3782,81
-112.94,-424.523,298.16,94
332.101,-14.2269,-381.903,63
-36.0375,279.412,-439.687,124
-346.976,390.192,160.924,85
166.157,318.476,-102.72,104
22.0133,377.001,210.785,98
-103.953,-77.6217,-543.858,108
355.882,-246.935,-356.818,121
210.087,-121.707,535.304,69
130.321,-119.208,355.174,103
173.698,163.591,43.2045,81
192.662,-460.831,131.55,106
354.004,-245.879,110.302,104
97.6806,-437.713,-26.5848,96
-53.3469,-148.512,476.992,106
278.755,-409.123,-217.343,99
327.615,318.748,357.806,166
-415.485,104.323,441.436,43
-206.567,383.95,-45.1457,104
38.8926,357.311,-424.139,90
-159.725,-252.315,364.496,82
129.221,-245.903,397.625,100
-176.339,-350.101,276.257,90
443.2,91.4186,-175.8,93
-568.518,-152.287,94.5902,104
107.01,-304.932,409.662,84
162.156,539.133,232.154,56
426.261,70.5722,-410.721,66
-238.769,-145.511,294.918,85
-98.5699,-225.604,395.539,100
-400.7,-178.355,246.9,106
-78.4899,-510.501,108.036,85
